crashSeverity,crashYear,region,weatherA,roadSurface,light,trafficControl,urban
Serious Crash,2003,Otago Region,Fine,Sealed,Dark,Unknown,Open
Minor Crash,2024,Bay of Plenty Region,Light rain,Sealed,Overcast,Nil,Open
Minor Crash,2014,Hawke's Bay Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2006,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2006,Otago Region,Light rain,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2023,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2005,Wellington Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2017,Northland Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2008,Gisborne Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2023,Hawke's Bay Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2003,Auckland Region,Fine,Sealed,Twilight,Nil,Urban
Non-Injury Crash,2025,Waikato Region,Light rain,Sealed,Dark,Nil,Urban
Non-Injury Crash,2021,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2009,Taranaki Region,Fine,Sealed,Overcast,Stop,Urban
Minor Crash,2020,Wellington Region,Light rain,Sealed,Dark,Nil,Urban
Non-Injury Crash,2001,Auckland Region,Heavy rain,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2002,Waikato Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2018,Otago Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2024,Canterbury Region,Light rain,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2023,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2007,Waikato Region,Light rain,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2014,Wellington Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2021,Auckland Region,Light rain,Sealed,Dark,Unknown,Open
Minor Crash,2022,Waikato Region,Fine,Sealed,Bright sun,Nil,Urban
Serious Crash,2013,Hawke's Bay Region,Light rain,Sealed,Dark,Nil,Open
Non-Injury Crash,2004,Wellington Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2010,Auckland Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2004,Northland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2011,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2017,Manawatū-Whanganui Region,Fine,Sealed,Overcast,Give way,Open
Fatal Crash,2018,Waikato Region,Fine,Sealed,Dark,Unknown,Open
Minor Crash,2014,Otago Region,Fine,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2006,Otago Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2007,Waikato Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2005,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2020,Wellington Region,Null,Sealed,Unknown,Unknown,Urban
Non-Injury Crash,2022,Auckland Region,Fine,Sealed,Dark,Give way,Urban
Serious Crash,2023,Bay of Plenty Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2014,Canterbury Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Serious Crash,2022,Taranaki Region,Fine,Null,Dark,Nil,Urban
Non-Injury Crash,2022,Waikato Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2006,Southland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2002,Taranaki Region,Light rain,Sealed,Overcast,Give way,Urban
Minor Crash,2003,Otago Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2009,Canterbury Region,Mist or Fog,Sealed,Dark,Traffic Signals,Urban
Minor Crash,2013,Canterbury Region,Fine,Sealed,Twilight,Give way,Urban
Non-Injury Crash,2010,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2018,Hawke's Bay Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2002,Taranaki Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2016,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2017,Otago Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2012,Auckland Region,Fine,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2006,Auckland Region,Light rain,Sealed,Dark,Nil,Urban
Non-Injury Crash,2009,Hawke's Bay Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2021,Auckland Region,Fine,Sealed,Dark,Stop,Urban
Non-Injury Crash,2003,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Minor Crash,2022,Otago Region,Fine,Unsealed,Bright sun,Nil,Open
Minor Crash,2005,Auckland Region,Light rain,Sealed,Overcast,Nil,Open
Minor Crash,2021,Bay of Plenty Region,Fine,Sealed,Dark,Give way,Urban
Minor Crash,2004,Waikato Region,Heavy rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2010,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2011,Canterbury Region,Light rain,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2004,Northland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2010,Canterbury Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2007,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2020,Wellington Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2019,Wellington Region,Null,Sealed,Dark,Nil,Urban
Non-Injury Crash,2006,Tasman Region,Fine,Sealed,Bright sun,Stop,Urban
Minor Crash,2010,Bay of Plenty Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2010,Wellington Region,Fine,Sealed,Overcast,Nil,Open
Minor Crash,2021,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2020,Northland Region,Fine,Sealed,Twilight,Nil,Open
Non-Injury Crash,2015,Auckland Region,Fine,Sealed,Dark,Stop,Urban
Non-Injury Crash,2012,Wellington Region,Fine,Sealed,Dark,Give way,Urban
Serious Crash,2023,Hawke's Bay Region,Fine,Sealed,Twilight,Nil,Urban
Non-Injury Crash,2001,Auckland Region,Heavy rain,Sealed,Overcast,Stop,Urban
Minor Crash,2001,Marlborough Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2005,Manawatū-Whanganui Region,Fine,Sealed,Dark,Nil,Open
Fatal Crash,2011,Waikato Region,Mist or Fog,Sealed,Dark,Give way,Urban
Non-Injury Crash,2016,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2018,Otago Region,Heavy rain,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2025,Taranaki Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2000,Wellington Region,Fine,Sealed,Dark,Give way,Urban
Serious Crash,2004,Northland Region,Light rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2002,Gisborne Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2009,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2013,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Minor Crash,2007,Bay of Plenty Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2024,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2008,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Open
Serious Crash,2019,Canterbury Region,Fine,Sealed,Overcast,Unknown,Urban
Minor Crash,2012,Southland Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2006,Manawatū-Whanganui Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2008,Bay of Plenty Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2008,Waikato Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2008,Auckland Region,Light rain,Sealed,Dark,Nil,Urban
Non-Injury Crash,2015,Northland Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2018,Hawke's Bay Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2005,Auckland Region,Heavy rain,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2004,Northland Region,Heavy rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2011,Waikato Region,Heavy rain,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2018,Auckland Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2020,Bay of Plenty Region,Light rain,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2018,Southland Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2020,Bay of Plenty Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2008,Hawke's Bay Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2008,Southland Region,Light rain,Sealed,Dark,Give way,Open
Non-Injury Crash,2011,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2025,Wellington Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2014,Waikato Region,Fine,Sealed,Overcast,Nil,Open
Serious Crash,2014,Auckland Region,Light rain,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2019,Southland Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2007,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Serious Crash,2007,Canterbury Region,Fine,Sealed,Dark,Give way,Open
Serious Crash,2005,Auckland Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2002,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2017,Wellington Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2011,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Open
Minor Crash,2003,Waikato Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2009,Wellington Region,Fine,Sealed,Twilight,Nil,Urban
Minor Crash,2013,Auckland Region,Heavy rain,Sealed,Dark,Stop,Urban
Non-Injury Crash,2024,Auckland Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2000,Wellington Region,Fine,Sealed,Twilight,Nil,Open
Non-Injury Crash,2005,Auckland Region,Heavy rain,Sealed,Dark,Nil,Urban
Non-Injury Crash,2009,Hawke's Bay Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2014,Auckland Region,Fine,Sealed,Dark,Unknown,Open
Minor Crash,2001,Canterbury Region,Light rain,Sealed,Overcast,Give way,Open
Non-Injury Crash,2007,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2003,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2004,Otago Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2015,Canterbury Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2023,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2007,Auckland Region,Fine,Sealed,Twilight,Nil,Urban
Non-Injury Crash,2016,Auckland Region,Heavy rain,Sealed,Twilight,Unknown,Urban
Minor Crash,2006,Northland Region,Heavy rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2000,Waikato Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2019,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2020,Waikato Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2016,Bay of Plenty Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2017,Waikato Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2024,Auckland Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2004,Wellington Region,Heavy rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2016,Southland Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2009,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2002,Manawatū-Whanganui Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2013,Southland Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2017,Wellington Region,Light rain,Sealed,Overcast,Unknown,Open
Serious Crash,2018,Auckland Region,Fine,Sealed,Overcast,Unknown,Open
Minor Crash,2025,Hawke's Bay Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2019,Hawke's Bay Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2010,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2023,Canterbury Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Minor Crash,2002,Hawke's Bay Region,Null,Sealed,Dark,Nil,Open
Minor Crash,2012,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2019,Canterbury Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2000,Auckland Region,Null,Sealed,Overcast,Stop,Urban
Minor Crash,2012,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2017,Auckland Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2021,Wellington Region,Null,Sealed,Unknown,Give way,Urban
Non-Injury Crash,2015,Waikato Region,Fine,Sealed,Overcast,Unknown,Urban
Minor Crash,2004,Otago Region,Light rain,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2000,Canterbury Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2007,Waikato Region,Fine,Sealed,Dark,Unknown,Open
Minor Crash,2004,Bay of Plenty Region,Fine,Sealed,Dark,Give way,Open
Non-Injury Crash,2011,Canterbury Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2015,Waikato Region,Fine,Sealed,Bright sun,Nil,Open
Serious Crash,2007,Wellington Region,Light rain,Sealed,Overcast,Stop,Urban
Serious Crash,2016,Bay of Plenty Region,Fine,Sealed,Bright sun,Stop,Open
Non-Injury Crash,2023,Auckland Region,Light rain,Sealed,Dark,Nil,Urban
Non-Injury Crash,2016,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2022,Auckland Region,Fine,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2025,Otago Region,Fine,Sealed,Twilight,Stop,Urban
Non-Injury Crash,2008,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2000,Otago Region,Fine,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2015,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2009,Tasman Region,Light rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2005,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2009,Waikato Region,Fine,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2006,Marlborough Region,Light rain,Sealed,Dark,Nil,Urban
Non-Injury Crash,2009,Waikato Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2018,Otago Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2013,Canterbury Region,Fine,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2024,Bay of Plenty Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2017,Canterbury Region,Fine,Sealed,Overcast,Unknown,Urban
Minor Crash,2008,Waikato Region,Fine,Sealed,Dark,Give way,Urban
Minor Crash,2009,Canterbury Region,Fine,Sealed,Bright sun,Stop,Open
Non-Injury Crash,2005,Otago Region,Heavy rain,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2007,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2005,Otago Region,Fine,Sealed,Bright sun,Unknown,Urban
Serious Crash,2006,Southland Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2006,Waikato Region,Light rain,Sealed,Dark,Nil,Urban
Non-Injury Crash,2019,Wellington Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2007,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Serious Crash,2013,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Urban
Serious Crash,2005,Otago Region,Fine,Unsealed,Dark,Unknown,Open
Non-Injury Crash,2010,Canterbury Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2011,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2021,Auckland Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2022,West Coast Region,Fine,Sealed,Bright sun,Give way,Urban
Serious Crash,2020,Southland Region,Fine,Sealed,Dark,Nil,Open
Minor Crash,2025,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2001,Waikato Region,Light rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2021,Waikato Region,Light rain,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2022,Waikato Region,Light rain,Sealed,Dark,Nil,Open
Non-Injury Crash,2007,Wellington Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2004,Auckland Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2018,Auckland Region,Fine,Sealed,Dark,Stop,Urban
Minor Crash,2023,Canterbury Region,Fine,Sealed,Overcast,Give way,Open
Non-Injury Crash,2020,Wellington Region,Heavy rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2017,Taranaki Region,Light rain,Sealed,Overcast,Stop,Open
Non-Injury Crash,2002,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2002,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2000,Marlborough Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2013,Auckland Region,Light rain,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2007,Hawke's Bay Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2003,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Minor Crash,2016,Bay of Plenty Region,Fine,Sealed,Overcast,Unknown,Urban
Serious Crash,2024,Auckland Region,Fine,Sealed,Dark,Give way,Urban
Minor Crash,2020,Canterbury Region,Light rain,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2011,Taranaki Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2014,Wellington Region,Fine,Sealed,Dark,Unknown,Urban
Minor Crash,2011,Auckland Region,Heavy rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2006,Nelson Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2005,Otago Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2017,Northland Region,Heavy rain,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2006,Waikato Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2007,Waikato Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2018,Canterbury Region,Null,Sealed,Dark,Unknown,Urban
Minor Crash,2019,Northland Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2022,Waikato Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2018,Northland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2021,Wellington Region,Null,Sealed,Unknown,Give way,Urban
Minor Crash,2022,Wellington Region,Fine,Sealed,Overcast,Give way,Urban
Minor Crash,2024,Waikato Region,Fine,Sealed,Bright sun,Give way,Urban
Serious Crash,2017,Bay of Plenty Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2016,Waikato Region,Fine,Sealed,Bright sun,Stop,Urban
Fatal Crash,2007,Northland Region,Fine,Sealed,Overcast,Give way,Open
Minor Crash,2023,Wellington Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2009,Manawatū-Whanganui Region,Light rain,Sealed,Dark,Nil,Open
Minor Crash,2011,Southland Region,Fine,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2007,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Serious Crash,2000,Otago Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2003,Auckland Region,Heavy rain,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2025,Canterbury Region,Fine,Sealed,Twilight,Nil,Urban
Non-Injury Crash,2025,Nelson Region,Fine,Sealed,Unknown,Nil,Urban
Minor Crash,2009,Auckland Region,Light rain,Sealed,Dark,Nil,Open
Non-Injury Crash,2018,Canterbury Region,Light rain,Sealed,Dark,Unknown,Open
Non-Injury Crash,2020,Taranaki Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2007,Otago Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2025,Canterbury Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2007,Hawke's Bay Region,Fine,Sealed,Overcast,Give way,Urban
Minor Crash,2017,Auckland Region,Light rain,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2018,Bay of Plenty Region,Light rain,Sealed,Overcast,Unknown,Open
Serious Crash,2019,Gisborne Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2002,Auckland Region,Light rain,Sealed,Dark,Nil,Urban
Minor Crash,2002,Taranaki Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2012,Otago Region,Heavy rain,Unsealed,Overcast,Unknown,Open
Serious Crash,2012,Waikato Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2008,Otago Region,Fine,Sealed,Overcast,Unknown,Urban
Minor Crash,2014,Otago Region,Fine,Sealed,Bright sun,Unknown,Open
Serious Crash,2016,Auckland Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2008,Hawke's Bay Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2021,Wellington Region,Null,Sealed,Unknown,Nil,Urban
Non-Injury Crash,2024,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2019,Wellington Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2011,Manawatū-Whanganui Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2020,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2010,Waikato Region,Fine,Sealed,Overcast,Give way,Open
Serious Crash,2007,Waikato Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2002,Auckland Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2017,Waikato Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2010,Northland Region,Light rain,Sealed,Dark,Nil,Urban
Serious Crash,2009,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2017,Taranaki Region,Fine,Sealed,Overcast,Give way,Urban
Minor Crash,2013,Canterbury Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Serious Crash,2016,Wellington Region,Fine,Sealed,Bright sun,Traffic Signals,Open
Non-Injury Crash,2015,Auckland Region,Light rain,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2013,Wellington Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2018,Bay of Plenty Region,Light rain,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2015,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2006,Canterbury Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2009,Auckland Region,Fine,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2007,Waikato Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2023,Southland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2021,Auckland Region,Fine,Sealed,Overcast,Stop,Urban
Minor Crash,2003,Manawatū-Whanganui Region,Light rain,Sealed,Dark,Nil,Open
Minor Crash,2003,Canterbury Region,Fine,Sealed,Twilight,Traffic Signals,Urban
Non-Injury Crash,2005,Wellington Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2021,Auckland Region,Fine,Sealed,Twilight,Nil,Urban
Non-Injury Crash,2010,Wellington Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2004,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2016,Otago Region,Light rain,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2017,Marlborough Region,Fine,Unsealed,Dark,Unknown,Open
Non-Injury Crash,2015,Waikato Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2011,Bay of Plenty Region,Null,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2018,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2014,Auckland Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2018,Waikato Region,Heavy rain,Sealed,Overcast,Give way,Open
Non-Injury Crash,2014,Wellington Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Fatal Crash,2012,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2004,Waikato Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2014,Wellington Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2015,Canterbury Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2019,Otago Region,Fine,Sealed,Dark,Unknown,Urban
Minor Crash,2018,Hawke's Bay Region,Heavy rain,Sealed,Dark,Unknown,Open
Serious Crash,2003,Wellington Region,Fine,Sealed,Twilight,Nil,Urban
Non-Injury Crash,2002,Manawatū-Whanganui Region,Light rain,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2017,Auckland Region,Fine,Sealed,Twilight,Nil,Urban
Non-Injury Crash,2022,Auckland Region,Fine,Sealed,Dark,Traffic Signals,Urban
Minor Crash,2021,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2018,Bay of Plenty Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2020,Northland Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2012,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2022,Marlborough Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2014,Northland Region,Fine,Sealed,Dark,Unknown,Open
Serious Crash,2025,Gisborne Region,Fine,Unsealed,Bright sun,Nil,Open
Minor Crash,2004,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2002,Waikato Region,Fine,Sealed,Twilight,Give way,Urban
Non-Injury Crash,2006,Canterbury Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2020,Waikato Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2005,Canterbury Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Minor Crash,2016,Canterbury Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2016,Auckland Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2015,Bay of Plenty Region,Heavy rain,Sealed,Overcast,Unknown,Urban
Minor Crash,2017,Manawatū-Whanganui Region,Fine,Sealed,Overcast,Stop,Open
Minor Crash,2009,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2010,Auckland Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2015,Auckland Region,Fine,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2024,Canterbury Region,Light rain,Sealed,Overcast,Nil,Urban
